month,kind,id,thousand_m3_month
2025-05,export,uruguay_petrouruguay,75
2025-05,supply,dist_otros,0
2025-05,supply,dist_propios,66532
2025-05,supply,tgn_neuquina,1.04139e+06
2025-05,supply,tgn_noroeste,87394
2025-05,supply,tgn_otros,78811
2025-05,supply,tgs_austral,755207
2025-05,supply,tgs_neuquina,2.00655e+06
2025-05,supply,tgs_otros,0
2025-05,supply,tgs_san_jorge,74711
2025-06,demand,dist_centrales,362785
2025-06,demand,dist_comercial,161953
2025-06,demand,dist_entes_oficiales,67014
2025-06,demand,dist_gnc,160296
2025-06,demand,dist_industria,704322
2025-06,demand,dist_residencial,1.66613e+06
2025-06,demand,dist_subdistribuidor,114793
2025-06,demand,trans_centrales,466411
2025-06,demand,trans_industria,164130
2025-06,demand,trans_rtp,161248
2025-06,demand,trans_subdistribuidor,24691
2025-06,export,brasil_ypf_uruguayana,0
2025-06,export,chile_egs,0
2025-06,export,chile_gasandes,172572
2025-06,export,chile_methanex_ypf,4132
2025-06,export,chile_norandino,0
2025-06,export,uruguay_gas_link,682
2025-06,export,uruguay_petrouruguay,151
2025-06,supply,dist_otros,0
2025-06,supply,dist_propios,100411
2025-06,supply,tgn_neuquina,1.04404e+06
2025-06,supply,tgn_noroeste,126417
2025-06,supply,tgn_otros,485241
2025-06,supply,tgs_austral,772050
2025-06,supply,tgs_neuquina,2.19159e+06
2025-06,supply,tgs_otros,0
2025-06,supply,tgs_san_jorge,65972
2025-07,demand,dist_centrales,405748
2025-07,demand,dist_comercial,183253
2025-07,demand,dist_entes_oficiales,77488
2025-07,demand,dist_gnc,162392
2025-07,demand,dist_industria,673449
2025-07,demand,dist_residencial,1.74299e+06
2025-07,demand,dist_subdistribuidor,120721
2025-07,demand,trans_centrales,426176
2025-07,demand,trans_industria,155562
2025-07,demand,trans_rtp,143748
2025-07,demand,trans_subdistribuidor,24965
2025-07,export,brasil_ypf_uruguayana,0
2025-07,export,chile_egs,0
2025-07,export,chile_gasandes,184661
2025-07,export,chile_methanex_ypf,2916
2025-07,export,chile_norandino,0
2025-07,export,uruguay_gas_link,1298
2025-07,export,uruguay_petrouruguay,230
2025-07,supply,dist_otros,0
2025-07,supply,dist_propios,101608
2025-07,supply,tgn_neuquina,1.10185e+06
2025-07,supply,tgn_noroeste,115472
2025-07,supply,tgn_otros,417432
2025-07,supply,tgs_austral,790804
2025-07,supply,tgs_neuquina,2.2698e+06
2025-07,supply,tgs_otros,0
2025-07,supply,tgs_san_jorge,60475
2025-08,demand,dist_centrales,435211
